filename,title,year,journal,abstract
12366.full.pdf,Behavioral/Systems/Cognitive An Approximately Bayesian Delta-Rule Model Explains the,,,"An Approximately Bayesian Delta-Rule Model Explains the Dynamics of Belief Updating in a Changing Environment Matthew R. Nassar,1 Robert C. Wilson,2 Benjamin Heasly,1 and Joshua I. Gold1 1Department of Neuroscience, University of Pennsylvania, Philadelphia, Pennsylvania 19104, and2Department of Psyc"
2005.01643v3.DONE pdf.pdf,"Ofﬂine Reinforcement Learning: Tutorial, Review, and Perspectives on Open Problems",,,"and Perspectives on Open Problems Sergey Levine1,2, Aviral Kumar1, George Tucker2, Justin Fu1 1UC Berkeley, 2Google Research, Brain Team In this tutorial article, we aim to provide the reader with the conceptual tools needed to get started on research on ofﬂine reinforcement learning algorithms: rei"
8264.full.DONE pdf.pdf,Brief Communications The Feedback-Related Negativity Signals Salience Prediction,,,"The Feedback-Related Negativity Signals Salience Prediction Errors, Not Reward Prediction Errors Deborah Talmi, Ryan Atkinson, and Wael El-Deredy School of Psychological Sciences, University of Manchester, Manchester, M13 9PL, United Kingdom Modulations of the feedback-related negativity (FRN) event"
Brain_mechanisms_underlying_the_influence_of_emoti.DONEpdf.pdf,TYPE Original Research PUBLISHED /three.tnum/zero.tnum September /two.tnum/zero.tnum/two.tnum/two.tn,,,"PUBLISHED /three.tnum/zero.tnum September /two.tnum/zero.tnum/two.tnum/two.tnum DOI /one.tnum/zero.tnum./three.tnum/three.tnum/eight.tnum/nine.tnum/fnins./two.tnum/zero.tnum/two.tnum/two.tnum./nine.tnum/eight.tnum/nine.tnum/nine.tnum/eight.tnum/eight.tnum University of Macau, Macao SAR, China Xinxia"
CogniBuild-AI.pdf,CogniBuild AIﯽﺣاﺮط  یﺎھ ﺶﯾﺎﻣزآ  ﮫﺘﻓﺮﺸﯿﭘ  مﻮﻠﻋ ﯽﺘﺧﺎﻨﺷ  نوﺪﺑ  ﯽﺴﯾﻮﻧﺪﮐ  و ﺎﺑ ﮫﻨﯾﺰھ  ﻦﯿﯾﺎﭘ ﺐﯿﮐﺮﺗ  شﻮھ  ،,,,CogniBuild AIﯽﺣاﺮط  یﺎھ ﺶﯾﺎﻣزآ  ﮫﺘﻓﺮﺸﯿﭘ  مﻮﻠﻋ ﯽﺘﺧﺎﻨﺷ  نوﺪﺑ  ﯽﺴﯾﻮﻧﺪﮐ  و ﺎﺑ ﮫﻨﯾﺰھ  ﻦﯿﯾﺎﭘ ﺐﯿﮐﺮﺗ  شﻮھ  ،ﯽﻋﻮﻨﺼﻣ  یﺮﯿﮔدﺎﯾ  ﯽﺘﯾﻮﻘﺗ  و یﺎھراﺰﺑا  Low-code یاﺮﺑ ﮫﻨﯿﮭﺑ  ندﺮﮐ تﺎﻘﯿﻘﺤﺗ  ﯽﺘﺧﺎﻨﺷ
Hajcak Proudfit Psychophysiology 2015 (Reward Positivity).pdf,"EARLY CAREER A W ARD ADDRESS, 2012 The reward positivity: From basic research on reward to a",2012,,"The reward positivity: From basic research on reward to a biomarker for depression Department of Psychology, Stony Brook University, Stony Brook, New Y ork, USA Feedback indicating monetary loss elicits an apparent negative deﬂection in the event-related potential (ERP) that has been referred to as"
HolroydColes2002مهم.DONE pdf.pdf,"The Neural Basis of Human Error Processing: Reinforcement Learning, Dopamine, and the Error-Related",,,"Dopamine, and the Error-Related Negativity University of Illinois at Urbana–Champaign University of Illinois at Urbana–Champaign and F. C. Donders Centre for Cognitive Neuroimaging The authors present a unified account of 2 neural systems concerned with the development and expression of adaptive beh"
PIIS0896627305003624.pdf,"Neuron, Vol. 46, 681–692, May 19, 2005, Copyright ©2005 by Elsevier Inc. DOI 10.1016/j.neuron.2005.0",2005,,"Uncertainty, Neuromodulation, and Attention Angela J. Yu* and Peter Dayan low inferences to be made about imperfectly observed aspects of the environment (either in space or time)Gatsby Computational Neuroscience Unit based on prior observations, which serve as predictive17 Queen Square cues. Accord"
bul0000006.pdf,"Psychological Bulletin 2015, Vol. 141, No. 1, 213-235 © 2014 American Psychological Association",2015,,"2015, Vol. 141, No. 1, 213-235 © 2014 American Psychological Association 0033-2909/15/$12.00 http://dx.doi.org/10.1037/bul0000006 A Neural Reward Prediction Error Revealed by a Meta-Analysis of ERPs Using Great Grand Averages Thomas D. Sambrook and Jeremy Goslin University of Plymouth Economic appro"
heilman2010.pdf,Emotion Regulation and Decision Making Under Risk and Uncertainty Renata M. Heilman and Liviu G. Cri,,,"Renata M. Heilman and Liviu G. Cris ¸an Babes¸-Bolyai University George Mason University Mircea Miclea and Andrei C. Miu Babes¸-Bolyai University It is well established that emotion plays a key role in human social and economic decision making. The recent literature on emotion regulation (ER), howev"
j.neubiorev.2016.09.021.pdf,Accepted Manuscript Title: The Research Domain Criteria Framework: The Case,2016,,Title: The Research Domain Criteria Framework: The Case for Anterior Cingulate Cortex Author: Clay B. Holroyd Akina Umemoto PII: S0149-7634(16)30364-5 DOI: http://dx.doi.org/doi:10.1016/j.neubiorev.2016.09.021 Received date: 15-6-2016 Revised date: 23-9-2016 Accepted date: 23-9-2016 Please cite this
j.neuroimage.2013.08.028. DONE pdf.pdf,"The feedback-related negativity (FRN) revisited: New insights into the localization, meaning and net",,,"localization, meaning and network organization Tobias U. Hauser a,b, Reto Iannaccone a,c, Philipp Stämpﬂi d, Renate Drechsler a, Daniel Brandeis a,b,e,f, Susanne Walitza a,e, Silvia Brem a,⁎ a University Clinics for Child and Adolescent Psychiatry (UCCAP), University of Zurich, Neumünsterallee 9, 80"
j.tins.2020.06.009.pdf,"Review How Outcome Uncertainty Mediates Attention,",,,"How Outcome Uncertainty Mediates Attention, Learning, and Decision-Making Ilya E. Monosov1,2,3,* Animals and humans evolved sophisti cated nervous systems that endowed them with the ability to form internal-models or beliefs and make predic- tions about the future to survive and ﬂourish in a world i"
markov decision processes.pdf,Chapter 12 Partially Observable Markov Decision Processes,,,"Partially Observable Markov Decision Processes Abstract. For reinforcement learning in environments in which an agent has access to a reliable state signal, methods based on the Markov decision process (MDP) have had many successes. In many problem domains, however, an agent suffers from limited sen"
mihatsch2002.pdf,"Machine Learning, 49, 267–290, 2002 c⃝ 2002 Kluwer Academic Publishers. Manufactured in The Netherla",2002,,"c⃝ 2002 Kluwer Academic Publishers. Manufactured in The Netherlands. Risk-Sensitive Reinforcement Learning OLIVER MIHATSCH oliver.mihatsch@mchp.siemens.de RALPH NEUNEIER ralph.neuneier@mchp.siemens.de Siemens AG, Corporate Technology, Information and Communications 4, D-81730 Munich, Germany Editor:"
nn1954.pdf,"Learning the value of information in an uncertain world Timothy E J Behrens 1,2, Mark W Woolrich 1,",,,"Timothy E J Behrens 1,2, Mark W Woolrich 1, Mark E Walton 2 & Matthew F S Rushworth 1,2 Our decisions are guided by outcomes that are associated with decisions made in the past. However, the amount of inﬂuence each past outcome has on our next decision remains unclear. To ensure optimal decision-mak"
